ID,SIM,interval,ETA1,ETA2,ETA3,ETA4
1,0,3,0.200573540309732,-0.0177462759591191,-0.248511000608605,-0.143397812770675
2,0,3,0.222742130848871,-0.020581666654694,-0.127426993898953,-0.234257121905638
3,0,3,0.0304739468926012,-0.00299190674929359,-0.100554895448027,0.0337408778341432
4,0,3,-0.0591624310555642,0.0053064305654217,0.122070770492938,-0.0192587271468811
5,0,3,-0.00760322257058412,-0.00135821380503546,0.298214788360212,-0.228243996234625
6,0,3,-0.106751090268727,0.00823557912690028,0.0255556623282068,0.168597232730983
7,0,3,0.0436844565396913,-0.00400092730778818,-0.0782194207852813,-0.00498547845730026
8,0,3,0.0360075668585773,-0.00493934562361683,0.248544734171985,-0.229198793592923
9,0,3,0.0936915503000977,-0.0113597948437312,0.274618742280513,-0.306970277936431
10,0,3,0.158638851924632,-0.0147080754022309,-0.0628034917433531,-0.177646844479691
11,0,3,-0.106139524337772,0.00948712444615,0.135994666812717,0.0271700745234996
12,0,3,0.0319998626953558,-0.00369395089725969,0.176534978206268,-0.169560975591708
1,1,3,0.169651138082196,-0.0195128407259719,0.272476684925903,-0.37796593392936
2,1,3,0.0963108033690757,-0.0087571729542629,-0.0579799769256551,-0.0949457063665499
3,1,3,0.330317013358035,-0.0356337356985988,0.151558162882665,-0.476025127295486
4,1,3,0.809123683425832,-0.127251295490497,0.802388550703453,-1.14100520946721
5,1,3,0.129311633028744,-0.0119600145416428,-0.0440179975522082,-0.14832482064585
6,1,3,-0.274031198863636,0.0228376693633232,0.146369200171581,0.252208698040062
7,1,3,0.355719774039404,-0.0283777413958025,-0.655302850287688,-0.227224541708183
8,1,3,0.0971344656761111,-0.00894968751635981,-0.196013389205532,-0.00427252671747224
9,1,3,0.111575080378426,-0.0117143267587162,0.167091661947736,-0.25111372899978
10,1,3,0.128046661220172,-0.0114720279121342,-0.175191665989174,-0.0701566315499678
11,1,3,0.222729742418654,-0.0229550237842186,0.111588418873907,-0.34301567236916
12,1,3,-0.0179144428239213,0.00163851192619262,0.0472136399780374,-0.0119390757612249
